<http://www.wikidata.org/entity/Q6199>	anarchism
<http://www.wikidata.org/entity/Q202236>	Darius II
<http://www.wikidata.org/entity/Q102865>	Darius III
<http://www.wikidata.org/entity/Q108636>	Easter Bunny
<http://www.wikidata.org/entity/Q47616>	incandescent light bulb
<http://www.wikidata.org/entity/Q234754>	Shirley Bassey
<http://www.wikidata.org/entity/Q152463>	Louis the German
<http://www.wikidata.org/entity/Q260747>	means of production
<http://www.wikidata.org/entity/Q219645>	misanthropy
<http://www.wikidata.org/entity/Q102605>	Paul II
<http://www.wikidata.org/entity/Q207448>	Monreale
<http://www.wikidata.org/entity/Q219407>	Ponzi scheme
<http://www.wikidata.org/entity/Q496389>	Lipari
<http://www.wikidata.org/entity/Q3955>	Weimar
<http://www.wikidata.org/entity/Q3030>	4 Vesta
<http://www.wikidata.org/entity/Q155100>	52 Europa
<http://www.wikidata.org/entity/Q178710>	Vesta
<http://www.wikidata.org/entity/Q165170>	Europa
<http://www.wikidata.org/entity/Q152091>	3753 Cruithne
<http://www.wikidata.org/entity/Q152907>	4179 Toutatis
<http://www.wikidata.org/entity/Q179014>	Io
<http://www.wikidata.org/entity/Q149417>	253 Mathilde
<http://www.wikidata.org/entity/Q107517>	16 Psyche
<http://www.wikidata.org/entity/Q3257>	Amalthea
<http://www.wikidata.org/entity/Q3002>	2 Pallas
<http://www.wikidata.org/entity/Q149012>	243 Ida
<http://www.wikidata.org/entity/Q2179>	asteroid belt
<http://www.wikidata.org/entity/Q18960>	Porifera
<http://www.wikidata.org/entity/Q170062>	Pannonia
<http://www.wikidata.org/entity/Q528042>	Dalmatia
<http://www.wikidata.org/entity/Q191701>	Master of Business Administration
<http://www.wikidata.org/entity/Q152213>	striptease
<http://www.wikidata.org/entity/Q600262>	perch
<http://www.wikidata.org/entity/Q2258881>	trout
<http://www.wikidata.org/entity/Q461432>	bluefish
<http://www.wikidata.org/entity/Q59576>	Siluriformes
<http://www.wikidata.org/entity/Q180816>	Dow Jones Industrial Average
<http://www.wikidata.org/entity/Q184332>	First Council of Ephesus
<http://www.wikidata.org/entity/Q71231>	Charles the Bald
<http://www.wikidata.org/entity/Q51812>	Alberobello
<http://www.wikidata.org/entity/Q192920>	Edward the Martyr
<http://www.wikidata.org/entity/Q18419>	Brooklyn
<http://www.wikidata.org/entity/Q129987>	William III
<http://www.wikidata.org/entity/Q192925>	Edgar of England
<http://www.wikidata.org/entity/Q45713>	Titan
<http://www.wikidata.org/entity/Q2565>	Titan
<http://www.wikidata.org/entity/Q57126>	Anne of Cleves
<http://www.wikidata.org/entity/Q192943>	Catherine Parr
<http://www.wikidata.org/entity/Q193236>	Gabriele D'Annunzio
<http://www.wikidata.org/entity/Q193847>	Bungee jumping
<http://www.wikidata.org/entity/Q7707>	water polo
<http://www.wikidata.org/entity/Q17707>	Atlas
<http://www.wikidata.org/entity/Q130818>	Atlas
<http://www.wikidata.org/entity/Q162827>	atlas
<http://www.wikidata.org/entity/Q655357>	atlas
<http://www.wikidata.org/entity/Q130135>	Atlas Mountains
<http://www.wikidata.org/entity/Q133001>	Paul III
<http://www.wikidata.org/entity/Q110079>	chessboard
<http://www.wikidata.org/entity/Q108376>	stratosphere
<http://www.wikidata.org/entity/Q162167>	mesosphere
<http://www.wikidata.org/entity/Q178043>	thermosphere
<http://www.wikidata.org/entity/Q130227>	Aten
<http://www.wikidata.org/entity/Q207391>	Apollo asteroids
<http://www.wikidata.org/entity/Q326139>	algal bloom
<http://www.wikidata.org/entity/Q216197>	altimeter
<http://www.wikidata.org/entity/Q208791>	aquifer
<http://www.wikidata.org/entity/Q81809>	atmospheric pressure
<http://www.wikidata.org/entity/Q138>	king
<http://www.wikidata.org/entity/Q42523>	atoll
<http://www.wikidata.org/entity/Q124274>	azimuth
<http://www.wikidata.org/entity/Q79757>	barometer
<http://www.wikidata.org/entity/Q696715>	biodegradation
<http://www.wikidata.org/entity/Q167751>	carbon cycle
<http://www.wikidata.org/entity/Q139>	queen
<http://www.wikidata.org/entity/Q185638>	cirrus cloud
<http://www.wikidata.org/entity/Q125928>	climate change
<http://www.wikidata.org/entity/Q8074>	cloud
<http://www.wikidata.org/entity/Q166583>	condensation
<http://www.wikidata.org/entity/Q207546>	contrail
<http://www.wikidata.org/entity/Q160329>	convection
<http://www.wikidata.org/entity/Q493109>	cryosphere
<http://www.wikidata.org/entity/Q182311>	cumulonimbus cloud
<http://www.wikidata.org/entity/Q14189>	cumulus cloud
<http://www.wikidata.org/entity/Q183513>	Buffy the Vampire Slayer
<http://www.wikidata.org/entity/Q36669>	daylight saving time
<http://www.wikidata.org/entity/Q184511>	idiom
<http://www.wikidata.org/entity/Q189014>	Leuciscus cephalus
<http://www.wikidata.org/entity/Q663611>	low Earth orbit
<http://www.wikidata.org/entity/Q189417>	Appian Way
<http://www.wikidata.org/entity/Q181032>	neurosis effects
<http://www.wikidata.org/entity/Q81126>	Manchuria
<http://www.wikidata.org/entity/Q12570>	suspension bridge
<http://www.wikidata.org/entity/Q137>	rook
<http://www.wikidata.org/entity/Q134>	bishop
<http://www.wikidata.org/entity/Q208440>	chess piece
<http://www.wikidata.org/entity/Q136>	knight
<http://www.wikidata.org/entity/Q228642>	Isabella of France
<http://www.wikidata.org/entity/Q428829>	Caernarfon
<http://www.wikidata.org/entity/Q135>	pawn
<http://www.wikidata.org/entity/Q127197>	bomb
<http://www.wikidata.org/entity/Q212121>	paella
<http://www.wikidata.org/entity/Q188908>	Murphy's law
<http://www.wikidata.org/entity/Q157065>	Kerch
<http://www.wikidata.org/entity/Q18338>	Standard Model
<http://www.wikidata.org/entity/Q102877>	castling
<http://www.wikidata.org/entity/Q44272>	Michel Foucault
<http://www.wikidata.org/entity/Q339747>	hippie
<http://www.wikidata.org/entity/Q180289>	espresso
<http://www.wikidata.org/entity/Q212268>	Antonov
<http://www.wikidata.org/entity/Q11547>	cosmic ray
<http://www.wikidata.org/entity/Q192152>	sport utility vehicle
<http://www.wikidata.org/entity/Q171446>	coral
<http://www.wikidata.org/entity/Q132781>	torture
<http://www.wikidata.org/entity/Q134241>	Feyenoord
<http://www.wikidata.org/entity/Q159241>	direct current
<http://www.wikidata.org/entity/Q83163>	Srinivasa Ramanujan
<http://www.wikidata.org/entity/Q25406>	coulomb
<http://www.wikidata.org/entity/Q47543>	Organisation of Islamic Cooperation
<http://www.wikidata.org/entity/Q488668>	Baltimore County
<http://www.wikidata.org/entity/Q156257>	Allegany County
<http://www.wikidata.org/entity/Q511164>	Washington County
<http://www.wikidata.org/entity/Q1168>	Chhattisgarh
<http://www.wikidata.org/entity/Q23768>	Las Vegas
<http://www.wikidata.org/entity/Q125006>	Brooklyn Bridge
<http://www.wikidata.org/entity/Q23165>	Gloucestershire
<http://www.wikidata.org/entity/Q19867>	Domesday Book
<http://www.wikidata.org/entity/Q214912>	hitchhiking
<http://www.wikidata.org/entity/Q193412>	Texas Instruments
<http://www.wikidata.org/entity/Q272683>	instruction set architecture
<http://www.wikidata.org/entity/Q761>	Białystok
<http://www.wikidata.org/entity/Q155311>	Voyager program
<http://www.wikidata.org/entity/Q15304496>	patience
<http://www.wikidata.org/entity/Q191469>	trogon
<http://www.wikidata.org/entity/Q39837>	Ibn Rushd
<http://www.wikidata.org/entity/Q31945>	Arabian Peninsula
<http://www.wikidata.org/entity/Q215601>	pickup truck
<http://www.wikidata.org/entity/Q190564>	Huntington disease
<http://www.wikidata.org/entity/Q215909>	augur
<http://www.wikidata.org/entity/Q38684>	Bay of Bengal
<http://www.wikidata.org/entity/Q176737>	stochastic process
<http://www.wikidata.org/entity/Q40888>	Andaman and Nicobar Islands
<http://www.wikidata.org/entity/Q1348>	Kolkata
<http://www.wikidata.org/entity/Q207953>	Elizabeth of York
<http://www.wikidata.org/entity/Q193499>	Krishna River
<http://www.wikidata.org/entity/Q40059>	Jordan River
<http://www.wikidata.org/entity/Q3140>	Hudson River
<http://www.wikidata.org/entity/Q25535>	Zealand
<http://www.wikidata.org/entity/Q192283>	news agency
<http://www.wikidata.org/entity/Q9476>	free will
<http://www.wikidata.org/entity/Q131133>	determinism
<http://www.wikidata.org/entity/Q9439>	Victoria
<http://www.wikidata.org/entity/Q329838>	Crisis of the Third Century
<http://www.wikidata.org/entity/Q271474>	Joseph of Arimathea
<http://www.wikidata.org/entity/Q1188>	Madhya Pradesh
<http://www.wikidata.org/entity/Q80989>	Bhopal
<http://www.wikidata.org/entity/Q18808>	Pyongyang
<http://www.wikidata.org/entity/Q185359>	union
<http://www.wikidata.org/entity/Q207628>	musical composition
<http://www.wikidata.org/entity/Q212108>	authentication
<http://www.wikidata.org/entity/Q178850>	Battle of Salamis
<http://www.wikidata.org/entity/Q183445>	Justin I
<http://www.wikidata.org/entity/Q15171>	Address Resolution Protocol
<http://www.wikidata.org/entity/Q191314>	Godavari River
<http://www.wikidata.org/entity/Q23380>	Jean Auguste Dominique Ingres
<http://www.wikidata.org/entity/Q83188>	relativism
<http://www.wikidata.org/entity/Q107342>	syllogism
<http://www.wikidata.org/entity/Q155629>	Sesame Street
<http://www.wikidata.org/entity/Q106259>	polder
<http://www.wikidata.org/entity/Q1178>	Maurice Ravel
<http://www.wikidata.org/entity/Q188459>	Goldie Hawn
<http://www.wikidata.org/entity/Q146657>	great circle
<http://www.wikidata.org/entity/Q190080>	Carnegie Mellon University
<http://www.wikidata.org/entity/Q54757>	Visby
<http://www.wikidata.org/entity/Q54619>	Locri
<http://www.wikidata.org/entity/Q257597>	Society for Worldwide Interbank Financial Telecommunication
<http://www.wikidata.org/entity/Q1142>	Alsace
<http://www.wikidata.org/entity/Q46076>	Lepus
<http://www.wikidata.org/entity/Q45315>	Berbers
<http://www.wikidata.org/entity/Q44539>	temple
<http://www.wikidata.org/entity/Q177567>	Amazon rainforest
<http://www.wikidata.org/entity/Q32738>	microcomputer
<http://www.wikidata.org/entity/Q105513>	bebop
<http://www.wikidata.org/entity/Q12748>	fossil fuel
<http://www.wikidata.org/entity/Q217467>	art rock
<http://www.wikidata.org/entity/Q950726>	William Ramsay
<http://www.wikidata.org/entity/Q23276>	Surrey
<http://www.wikidata.org/entity/Q183998>	camera obscura
<http://www.wikidata.org/entity/Q103184>	article
<http://www.wikidata.org/entity/Q13233>	ice cream
<http://www.wikidata.org/entity/Q317088>	commodity
<http://www.wikidata.org/entity/Q168962>	Torquato Tasso
<http://www.wikidata.org/entity/Q43413>	phenyl group
<http://www.wikidata.org/entity/Q186286>	vaudeville
<http://www.wikidata.org/entity/Q12134>	celestial sphere
<http://www.wikidata.org/entity/Q193857>	Ben Jonson
<http://www.wikidata.org/entity/Q29303>	Canterbury
<http://www.wikidata.org/entity/Q838296>	international auxiliary language
<http://www.wikidata.org/entity/Q3869>	Marburg
<http://www.wikidata.org/entity/Q53454>	John III Șoboski
<http://www.wikidata.org/entity/Q36332>	Iguaçu Falls
<http://www.wikidata.org/entity/Q25401>	Lagomorpha
<http://www.wikidata.org/entity/Q48319>	Hans Holbein
<http://www.wikidata.org/entity/Q12119>	celestial pole
<http://www.wikidata.org/entity/Q169342>	retina
<http://www.wikidata.org/entity/Q162908>	electrolyte
<http://www.wikidata.org/entity/Q81825>	caterpillar
<http://www.wikidata.org/entity/Q11946202>	butterfly
<http://www.wikidata.org/entity/Q482816>	parachute
<http://www.wikidata.org/entity/Q131656>	pesticide
<http://www.wikidata.org/entity/Q153122>	Tripartite Pact
<http://www.wikidata.org/entity/Q164047>	Alexander Pope
<http://www.wikidata.org/entity/Q128746>	Irving Berlin
<http://www.wikidata.org/entity/Q22664>	geographic coordinate system
<http://www.wikidata.org/entity/Q146322>	polyurethane
<http://www.wikidata.org/entity/Q54066>	Westchester County
<http://www.wikidata.org/entity/Q54064>	Nassau County
<http://www.wikidata.org/entity/Q134165>	Oscar Niemeyer
<http://www.wikidata.org/entity/Q86394>	celestial coordinate system
<http://www.wikidata.org/entity/Q208617>	equatorial coordinate system
<http://www.wikidata.org/entity/Q185150>	Eudoxus of Cnidus
<http://www.wikidata.org/entity/Q201321>	Navier–Stokes equations
<http://www.wikidata.org/entity/Q7754>	mathematical analysis
<http://www.wikidata.org/entity/Q161172>	ring
<http://www.wikidata.org/entity/Q180943>	Caesar cipher
<http://www.wikidata.org/entity/Q60028>	Gottlob Frege
<http://www.wikidata.org/entity/Q76927>	Mary of Teck
<http://www.wikidata.org/entity/Q37060>	José Saramago
<http://www.wikidata.org/entity/Q134259>	Louis VII of France
<http://www.wikidata.org/entity/Q183275>	Mitsubishi
<http://www.wikidata.org/entity/Q131706>	Helder Teixeira
<http://www.wikidata.org/entity/Q18927>	Lycia
<http://www.wikidata.org/entity/Q36155>	Coptic
<http://www.wikidata.org/entity/Q81741>	magic
<http://www.wikidata.org/entity/Q101081>	Provence
<http://www.wikidata.org/entity/Q128207>	terrestrial planet
<http://www.wikidata.org/entity/Q25894>	antelope
<http://www.wikidata.org/entity/Q217595>	Oxford University Press
<http://www.wikidata.org/entity/Q210223>	sloop
<http://www.wikidata.org/entity/Q160456>	Angela Davis
<http://www.wikidata.org/entity/Q68962>	Eurasian Avars
<http://www.wikidata.org/entity/Q988343>	blood vessel
<http://www.wikidata.org/entity/Q2069>	Juan Manuel Fangio
<http://www.wikidata.org/entity/Q160499>	Charles-Maurice de Talleyrand-Périgord
<http://www.wikidata.org/entity/Q170304>	dopamine
<http://www.wikidata.org/entity/Q191703>	Organisation of African Unity
<http://www.wikidata.org/entity/Q178403>	Irvine Welsh
<http://www.wikidata.org/entity/Q49476>	archbishop
<http://www.wikidata.org/entity/Q34627>	synagogue
<http://www.wikidata.org/entity/Q221395>	air traffic control
<http://www.wikidata.org/entity/Q57410>	Shimon Peres
<http://www.wikidata.org/entity/Q154934>	Egbert of Wessex
<http://www.wikidata.org/entity/Q6498826>	martyr
<http://www.wikidata.org/entity/Q183266>	Samuel Johnson
<http://www.wikidata.org/entity/Q127417>	Douglas MacArthur
<http://www.wikidata.org/entity/Q14745>	furniture
<http://www.wikidata.org/entity/Q713414>	history of Korea
<http://www.wikidata.org/entity/Q16563>	Memphis
<http://www.wikidata.org/entity/Q135010>	war crime
<http://www.wikidata.org/entity/Q8080>	1896 Summer Olympics
<http://www.wikidata.org/entity/Q9217>	Thai
<http://www.wikidata.org/entity/Q43361>	Harry Potter and the Philosopher's Stone
<http://www.wikidata.org/entity/Q180402>	Yosemite National Park
<http://www.wikidata.org/entity/Q156054>	Tocantins River
<http://www.wikidata.org/entity/Q38511>	Turku
<http://www.wikidata.org/entity/Q191504>	Leptis Magna
<http://www.wikidata.org/entity/Q294435>	Thomas Cromwell
<http://www.wikidata.org/entity/Q223679>	GNU Octave
<http://www.wikidata.org/entity/Q187719>	Corpus Juris Civilis
<http://www.wikidata.org/entity/Q214242>	pyramid scheme
<http://www.wikidata.org/entity/Q314492>	Ragnar Lodbrok
<http://www.wikidata.org/entity/Q184928>	Revolution of 1905
<http://www.wikidata.org/entity/Q81082>	Henri Poincaré
<http://www.wikidata.org/entity/Q151616>	Great Northern War
<http://www.wikidata.org/entity/Q43695>	Tocantins
<http://www.wikidata.org/entity/Q230>	Georgia
<http://www.wikidata.org/entity/Q185623>	halberd
<http://www.wikidata.org/entity/Q205921>	Philosophiae Naturalis Principia Mathematica
<http://www.wikidata.org/entity/Q7208>	pathology
<http://www.wikidata.org/entity/Q22247>	gamma-ray burst
<http://www.wikidata.org/entity/Q205227>	Second Council of Constantinople
<http://www.wikidata.org/entity/Q235193>	Clash of Civilizations
<http://www.wikidata.org/entity/Q3818>	Malabo
<http://www.wikidata.org/entity/Q185243>	Gravitational lens
<http://www.wikidata.org/entity/Q6837>	Lutherstadt Wittenberg
<http://www.wikidata.org/entity/Q1428>	Georgia
<http://www.wikidata.org/entity/Q161067>	Piper methysticum
<http://www.wikidata.org/entity/Q191747>	sidereal time
<http://www.wikidata.org/entity/Q41876>	Reims
<http://www.wikidata.org/entity/Q161081>	deflation
<http://www.wikidata.org/entity/Q179522>	market economy
<http://www.wikidata.org/entity/Q192625>	linguistic typology
<http://www.wikidata.org/entity/Q746136>	Percidae
<http://www.wikidata.org/entity/Q208028>	Gadidae
<http://www.wikidata.org/entity/Q216241>	Gadiformes
<http://www.wikidata.org/entity/Q239590>	Sparidae
<http://www.wikidata.org/entity/Q193389>	Clupeiformes
<http://www.wikidata.org/entity/Q27141>	Clupeidae
<http://www.wikidata.org/entity/Q215185>	Scombridae
<http://www.wikidata.org/entity/Q207941>	Serranidae
<http://www.wikidata.org/entity/Q8440>	Hugo Chávez
<http://www.wikidata.org/entity/Q184238>	Salmonidae
<http://www.wikidata.org/entity/Q208777>	Scorpaeniformes
<http://www.wikidata.org/entity/Q297142>	Joe DiMaggio
<http://www.wikidata.org/entity/Q214096>	lyrebird
<http://www.wikidata.org/entity/Q483788>	atomic radius
<http://www.wikidata.org/entity/Q471702>	nucleosynthesis
<http://www.wikidata.org/entity/Q82806>	zenith
<http://www.wikidata.org/entity/Q43261>	horizon
<http://www.wikidata.org/entity/Q4610556>	model
<http://www.wikidata.org/entity/Q152260>	Alexandra of Denmark
<http://www.wikidata.org/entity/Q205842>	Aspen
<http://www.wikidata.org/entity/Q150445>	Camille Saint-Saëns
<http://www.wikidata.org/entity/Q187117>	lobbying
<http://www.wikidata.org/entity/Q27034>	Brazoria County
<http://www.wikidata.org/entity/Q108403>	Clark County
<http://www.wikidata.org/entity/Q13298>	Graz
<http://www.wikidata.org/entity/Q150872>	Empress Matilda
<http://www.wikidata.org/entity/Q211734>	Athens International Airport
<http://www.wikidata.org/entity/Q217458>	Characiformes
<http://www.wikidata.org/entity/Q484538>	Washington County
<http://www.wikidata.org/entity/Q748474>	Corvallis
<http://www.wikidata.org/entity/Q43919>	Salem
<http://www.wikidata.org/entity/Q174698>	Basidiomycota
<http://www.wikidata.org/entity/Q174726>	Ascomycota
<http://www.wikidata.org/entity/Q264892>	social justice
<http://www.wikidata.org/entity/Q204698>	limerick
<http://www.wikidata.org/entity/Q48537>	African-American Civil Rights Movement (1955–68)
<http://www.wikidata.org/entity/Q130975>	Robert A. Millikan
<http://www.wikidata.org/entity/Q516739>	road transport
<http://www.wikidata.org/entity/Q106123>	international E-road network
<http://www.wikidata.org/entity/Q11665>	José Ramos-Horta
<http://www.wikidata.org/entity/Q19686>	River Thames
<http://www.wikidata.org/entity/Q26939>	epigenetics
<http://www.wikidata.org/entity/Q204720>	Hereford
<http://www.wikidata.org/entity/Q211396>	Magnus Maximus
<http://www.wikidata.org/entity/Q234001>	Carlos Filipe Ximenes Belo
<http://www.wikidata.org/entity/Q239333>	People's Party for Freedom and Democracy
<http://www.wikidata.org/entity/Q275441>	Labour Party
<http://www.wikidata.org/entity/Q167561>	Eugene IV
<http://www.wikidata.org/entity/Q161419>	Oceanus
<http://www.wikidata.org/entity/Q191026>	Francis Galton
<http://www.wikidata.org/entity/Q208537>	Pablo Casals
<http://www.wikidata.org/entity/Q1585>	Georg Simon Ohm
<http://www.wikidata.org/entity/Q650891>	glans penis
<http://www.wikidata.org/entity/Q41591>	Ohm's law
<http://www.wikidata.org/entity/Q167555>	optical character recognition
<http://www.wikidata.org/entity/Q101674>	vacuum cleaner
<http://www.wikidata.org/entity/Q52947>	Gustav I of Sweden
<http://www.wikidata.org/entity/Q1711>	Potsdam
<http://www.wikidata.org/entity/Q30974>	Rouen
<http://www.wikidata.org/entity/Q68965>	Solothurn
<http://www.wikidata.org/entity/Q2978>	Regensburg
<http://www.wikidata.org/entity/Q220979>	Carthusians
<http://www.wikidata.org/entity/Q16556>	Phoenix
<http://www.wikidata.org/entity/Q48444>	phoenix
<http://www.wikidata.org/entity/Q10441>	Phoenix
<http://www.wikidata.org/entity/Q212150>	Marathon
<http://www.wikidata.org/entity/Q40244>	marathon
<http://www.wikidata.org/entity/Q188961>	decentralization
<http://www.wikidata.org/entity/Q2107>	Wuppertal
<http://www.wikidata.org/entity/Q188485>	fair trade
<http://www.wikidata.org/entity/Q130741>	hallucination
<http://www.wikidata.org/entity/Q165769>	Penelope
<http://www.wikidata.org/entity/Q189962>	interval
<http://www.wikidata.org/entity/Q185148>	real interval
<http://www.wikidata.org/entity/Q224821>	fuzzy logic
<http://www.wikidata.org/entity/Q155704>	588 Achilles
<http://www.wikidata.org/entity/Q294234>	Trofim Lysenko
<http://www.wikidata.org/entity/Q80450>	Anacletus
<http://www.wikidata.org/entity/Q262367>	George Westinghouse
<http://www.wikidata.org/entity/Q206829>	reductionism
<http://www.wikidata.org/entity/Q223818>	biplane
<http://www.wikidata.org/entity/Q165435>	carburetor
<http://www.wikidata.org/entity/Q181040>	clef
<http://www.wikidata.org/entity/Q843813>	C
<http://www.wikidata.org/entity/Q192193>	staff
<http://www.wikidata.org/entity/Q202021>	chromatic scale
<http://www.wikidata.org/entity/Q161672>	Patrice Lumumba
<http://www.wikidata.org/entity/Q200867>	Gustav Holst
<http://www.wikidata.org/entity/Q9310>	Dili
<http://www.wikidata.org/entity/Q2514>	Willy Brandt
<http://www.wikidata.org/entity/Q152802>	Buchenwald concentration camp
<http://www.wikidata.org/entity/Q102071>	Tove Jansson
<http://www.wikidata.org/entity/Q101090>	Eleuterus
<http://www.wikidata.org/entity/Q171421>	Henry Morton Stanley
<http://www.wikidata.org/entity/Q188946>	bipolar junction transistor
<http://www.wikidata.org/entity/Q202849>	Turner syndrome
<http://www.wikidata.org/entity/Q135547>	Laurent-Désiré Kabila
<http://www.wikidata.org/entity/Q9591>	1928 Winter Olympics
<http://www.wikidata.org/entity/Q217619>	Anthony Burgess
<http://www.wikidata.org/entity/Q9637>	larynx
<http://www.wikidata.org/entity/Q187899>	Deep Blue
<http://www.wikidata.org/entity/Q214244>	affirmative action
<http://www.wikidata.org/entity/Q35473>	window
<http://www.wikidata.org/entity/Q43164>	kitchen
<http://www.wikidata.org/entity/Q168707>	Pliny the Younger
<http://www.wikidata.org/entity/Q123509>	extinction
<http://www.wikidata.org/entity/Q173431>	CMOS
<http://www.wikidata.org/entity/Q191536>	conjunction
<http://www.wikidata.org/entity/Q155127>	Axel Oxenstierna
<http://www.wikidata.org/entity/Q84122>	Horus
<http://www.wikidata.org/entity/Q187483>	Bayeux Tapestry
<http://www.wikidata.org/entity/Q107626>	Seth
<http://www.wikidata.org/entity/Q50708>	divisor
<http://www.wikidata.org/entity/Q177051>	Pascal's triangle
<http://www.wikidata.org/entity/Q206005>	Henri Lebesgue
<http://www.wikidata.org/entity/Q42013>	Anwar el Sadat
<http://www.wikidata.org/entity/Q3923>	Bayreuth
<http://www.wikidata.org/entity/Q339321>	Battle of the Milvian Bridge
<http://www.wikidata.org/entity/Q147027>	thought experiment
<http://www.wikidata.org/entity/Q130852>	Junichiro Koizumi
<http://www.wikidata.org/entity/Q102014>	hyperlink
<http://www.wikidata.org/entity/Q683512>	Savonlinna
<http://www.wikidata.org/entity/Q810808>	batholith
<http://www.wikidata.org/entity/Q23413>	castle
<http://www.wikidata.org/entity/Q55498>	Yalu River
<http://www.wikidata.org/entity/Q80504>	Nicolae Ceaușescu
<http://www.wikidata.org/entity/Q223831>	Montgomery
<http://www.wikidata.org/entity/Q182505>	Bayes' theorem
<http://www.wikidata.org/entity/Q166635>	Stanley Baldwin
<http://www.wikidata.org/entity/Q161179>	pigment
<http://www.wikidata.org/entity/Q10285>	Colosseum
<http://www.wikidata.org/entity/Q12133>	deafness
<http://www.wikidata.org/entity/Q17951>	jargon
<http://www.wikidata.org/entity/Q41573>	Bay of Biscay
<http://www.wikidata.org/entity/Q560583>	English grammar
<http://www.wikidata.org/entity/Q177708>	menopause
<http://www.wikidata.org/entity/Q52937>	Christina of Sweden
<http://www.wikidata.org/entity/Q174971>	Ito Hirobumi
<http://www.wikidata.org/entity/Q45682>	Jean Sibelius
<http://www.wikidata.org/entity/Q7724>	August Strindberg
<http://www.wikidata.org/entity/Q3750514>	sophist
<http://www.wikidata.org/entity/Q105221>	Dan Aykroyd
<http://www.wikidata.org/entity/Q83684>	Salem
<http://www.wikidata.org/entity/Q40609>	aurora
<http://www.wikidata.org/entity/Q230672>	Newark
<http://www.wikidata.org/entity/Q207770>	Pirelli
<http://www.wikidata.org/entity/Q877729>	handicraft
<http://www.wikidata.org/entity/Q191021>	Adrien-Marie Legendre
<http://www.wikidata.org/entity/Q151599>	Metropolis
<http://www.wikidata.org/entity/Q23346>	Sussex
<http://www.wikidata.org/entity/Q41871>	Paul Newman
<http://www.wikidata.org/entity/Q1563>	Havana
<http://www.wikidata.org/entity/Q46830>	Robert Hooke
<http://www.wikidata.org/entity/Q82728>	American bison
<http://www.wikidata.org/entity/Q62>	San Francisco
<http://www.wikidata.org/entity/Q92741>	Alonzo Church
<http://www.wikidata.org/entity/Q41425>	ballet
<http://www.wikidata.org/entity/Q70>	Bern
<http://www.wikidata.org/entity/Q215108>	microclimate
<http://www.wikidata.org/entity/Q131491>	Brighton
<http://www.wikidata.org/entity/Q152788>	Emil Nolde
<http://www.wikidata.org/entity/Q42887>	Clement I
<http://www.wikidata.org/entity/Q101306>	Zephyrinus
<http://www.wikidata.org/entity/Q191020>	Gary Becker
<http://www.wikidata.org/entity/Q33289>	creole language
<http://www.wikidata.org/entity/Q31347>	Grand Canal
<http://www.wikidata.org/entity/Q192851>	arcade game machine
<http://www.wikidata.org/entity/Q60095>	Otto von Guericke
<http://www.wikidata.org/entity/Q52954>	keyboard instrument
<http://www.wikidata.org/entity/Q8575586>	Umayyad Caliphate
<http://www.wikidata.org/entity/Q12536>	Abbasid Caliphate
<http://www.wikidata.org/entity/Q152094>	Alexandra Fyodorovna
<http://www.wikidata.org/entity/Q199688>	Almohad
<http://www.wikidata.org/entity/Q45669>	Eucalyptus
<http://www.wikidata.org/entity/Q192592>	Kenneth Arrow
<http://www.wikidata.org/entity/Q208160>	courage
<http://www.wikidata.org/entity/Q157811>	virtue
<http://www.wikidata.org/entity/Q43727>	Leo XII
<http://www.wikidata.org/entity/Q12146>	Basel-Landschaft
<http://www.wikidata.org/entity/Q1446>	Caracalla
<http://www.wikidata.org/entity/Q188993>	anarcho-syndicalism
<http://www.wikidata.org/entity/Q295673>	William Vickrey
<http://www.wikidata.org/entity/Q7177>	Jean-Marie Le Pen
<http://www.wikidata.org/entity/Q185107>	Carlos Menem
<http://www.wikidata.org/entity/Q36036>	Lviv
<http://www.wikidata.org/entity/Q194267>	Rosicrucianism
<http://www.wikidata.org/entity/Q422179>	chrysoberyl
<http://www.wikidata.org/entity/Q129857>	Francis I of France
<http://www.wikidata.org/entity/Q190507>	hope
<http://www.wikidata.org/entity/Q184303>	gift
<http://www.wikidata.org/entity/Q223681>	apostasy
<http://www.wikidata.org/entity/Q6498477>	lust
<http://www.wikidata.org/entity/Q208508>	Bay of Pigs
<http://www.wikidata.org/entity/Q41180>	La Marseillaise
<http://www.wikidata.org/entity/Q9444>	rainforest
<http://www.wikidata.org/entity/Q193372>	polar climate
<http://www.wikidata.org/entity/Q75849>	Alfred Rosenberg
<http://www.wikidata.org/entity/Q167466>	temperate climate
<http://www.wikidata.org/entity/Q1012>	Celje
<http://www.wikidata.org/entity/Q208080>	opera buffa
<http://www.wikidata.org/entity/Q16987>	Nord-Pas-de-Calais
<http://www.wikidata.org/entity/Q1798603>	string instrument
<http://www.wikidata.org/entity/Q1930187>	journalist
<http://www.wikidata.org/entity/Q46889>	Bos primigenius indicus
<http://www.wikidata.org/entity/Q648>	Lille
<http://www.wikidata.org/entity/Q752>	Groningen
<http://www.wikidata.org/entity/Q749>	Groningen
<http://www.wikidata.org/entity/Q44071>	Yuri Andropov
<http://www.wikidata.org/entity/Q173424>	autocracy
<http://www.wikidata.org/entity/Q208037>	Third Council of Constantinople
<http://www.wikidata.org/entity/Q164823>	Girolamo Savonarola
