<http://www.yso.fi/onto/yso/p27729>	culture jamming
<http://www.yso.fi/onto/yso/p5484>	nattflyn
<http://www.yso.fi/onto/yso/p118605>	Turin
<http://www.yso.fi/onto/yso/p15869>	Fanjunkars torp
<http://www.yso.fi/onto/yso/p201030>	Keplakko
<http://www.yso.fi/onto/yso/p106071>	Kisko
<http://www.yso.fi/onto/yso/p13772>	undervattensrugby
<http://www.yso.fi/onto/yso/p15006>	ungdomsnämnder
<http://www.yso.fi/onto/yso/p23555>	sportdrycker
<http://www.yso.fi/onto/yso/p118599>	Santaskylä (Kankaanpää)
<http://www.yso.fi/onto/yso/p4697>	emaljarbeten
<http://www.yso.fi/onto/yso/p105478>	Siikajoki (kommun)
<http://www.yso.fi/onto/yso/p28320>	innästling
<http://www.yso.fi/onto/yso/p6948>	Kodálymetoden
<http://www.yso.fi/onto/yso/p5471>	fosterhem
<http://www.yso.fi/onto/yso/p13334>	militära övningar
<http://www.yso.fi/onto/yso/p17634>	näckmossa (art)
<http://www.yso.fi/onto/yso/p22783>	Calc
<http://www.yso.fi/onto/yso/p699>	brytning (fysik)
<http://www.yso.fi/onto/yso/p27369>	skifferolja
<http://www.yso.fi/onto/yso/p14783>	nationallitteratur
<http://www.yso.fi/onto/yso/p24970>	nöjesläsning
<http://www.yso.fi/onto/yso/p29833>	MC:s (musik)
<http://www.yso.fi/onto/yso/p9781>	diplomatiska förbindelser
<http://www.yso.fi/onto/yso/p29769>	räddningslag
<http://www.yso.fi/onto/yso/p154142>	Mieslahti (Paltamo)
<http://www.yso.fi/onto/yso/p21621>	specialtandläkare
<http://www.yso.fi/onto/yso/p13280>	trafikrätt
<http://www.yso.fi/onto/yso/p16710>	laktos
<http://www.yso.fi/onto/yso/p18130>	fabrikörer
<http://www.yso.fi/onto/yso/p10308>	berövande
<http://www.yso.fi/onto/yso/p25845>	tarmcancer
<http://www.yso.fi/onto/yso/p10754>	vuxenpedagogik
<http://www.yso.fi/onto/yso/p5462>	informationsteknik
<http://www.yso.fi/onto/yso/p22357>	förvaltningsklagan
<http://www.yso.fi/onto/yso/p14380>	kammarmusik
<http://www.yso.fi/onto/yso/p18557>	lastflak
<http://www.yso.fi/onto/yso/p5811>	demonstrativpronomen
<http://www.yso.fi/onto/yso/p19025>	laparoskopi
<http://www.yso.fi/onto/yso/p23325>	vaktmästare
<http://www.yso.fi/onto/yso/p136714>	Råby (Vanda)
<http://www.yso.fi/onto/yso/p22573>	lag om stiftelser
<http://www.yso.fi/onto/yso/p37941>	fanerozoikum
<http://www.yso.fi/onto/yso/p19552>	förebyggande
<http://www.yso.fi/onto/yso/p14830>	broar
<http://www.yso.fi/onto/yso/p128101>	Lappila (Kärkölä)
<http://www.yso.fi/onto/yso/p16644>	tunnfilm
<http://www.yso.fi/onto/yso/p24255>	fjärmande
<http://www.yso.fi/onto/yso/p2331>	naturlandskap
<http://www.yso.fi/onto/yso/p24524>	monosackarider
<http://www.yso.fi/onto/yso/p129146>	Thrakien
<http://www.yso.fi/onto/yso/p23501>	Turinsvepningen
<http://www.yso.fi/onto/yso/p164949>	Somaliland
<http://www.yso.fi/onto/yso/p19371>	analytisk geometri
<http://www.yso.fi/onto/yso/p160063>	Långforsen (Vanda)
<http://www.yso.fi/onto/yso/p71>	mobbning
<http://www.yso.fi/onto/yso/p17281>	videospel
<http://www.yso.fi/onto/yso/p1955>	Konventionen om skydd för världens kultur- och naturarv
<http://www.yso.fi/onto/yso/p110851>	Björkön
<http://www.yso.fi/onto/yso/p110>	ryggrad
<http://www.yso.fi/onto/yso/p8721>	ljusbehandling
<http://www.yso.fi/onto/yso/p16633>	euforbior
<http://www.yso.fi/onto/yso/p112880>	Peräselkä (Jäppilä)
<http://www.yso.fi/onto/yso/p24892>	bevakningsbåtar
<http://www.yso.fi/onto/yso/p640>	kväveföreningar
<http://www.yso.fi/onto/yso/p23681>	Nöteborgs slott
<http://www.yso.fi/onto/yso/p18779>	allmosor
<http://www.yso.fi/onto/yso/p106577>	Niemenkylä (Lavia)
<http://www.yso.fi/onto/yso/p23146>	drever
<http://www.yso.fi/onto/yso/p20440>	Helige Nikolaos kyrka (Kotka)
<http://www.yso.fi/onto/yso/p120056>	Liedenpohja (Virdois)
<http://www.yso.fi/onto/yso/p18715>	barnvisor
<http://www.yso.fi/onto/yso/p108652>	Korpijärvi (S:t Michels landskommun)
<http://www.yso.fi/onto/yso/p25474>	allierade
<http://www.yso.fi/onto/yso/p14591>	terminaler (datorer)
<http://www.yso.fi/onto/yso/p7033>	apartheid
<http://www.yso.fi/onto/yso/p27616>	coachande ledarskap
<http://www.yso.fi/onto/yso/p27698>	boulder
<http://www.yso.fi/onto/yso/p8114>	terapeuter
<http://www.yso.fi/onto/yso/p4438>	upphittade djur
<http://www.yso.fi/onto/yso/p9802>	aerosoler
<http://www.yso.fi/onto/yso/p28020>	kapsid
<http://www.yso.fi/onto/yso/p149714>	Vuorenkylä (Gustav Adolfs)
<http://www.yso.fi/onto/yso/p2742>	roll (uppgift)
<http://www.yso.fi/onto/yso/p197130>	Sairiala (Tuulos)
<http://www.yso.fi/onto/yso/p5605>	religiösa samfund
<http://www.yso.fi/onto/yso/p9194>	materiell kultur
<http://www.yso.fi/onto/yso/p15196>	pm2
<http://www.yso.fi/onto/yso/p38090>	vinnande
<http://www.yso.fi/onto/yso/p86>	idrottsanläggningar
<http://www.yso.fi/onto/yso/p24847>	social förstärkning
<http://www.yso.fi/onto/yso/p176>	spiritualitet
<http://www.yso.fi/onto/yso/p111733>	Siivikko (Pudasjärvi)
<http://www.yso.fi/onto/yso/p107118>	Harju (Jyväskylä)
<http://www.yso.fi/onto/yso/p15326>	vuxenblivande
<http://www.yso.fi/onto/yso/p15214>	mässa (gudstjänst)
<http://www.yso.fi/onto/yso/p21001>	matvaror
<http://www.yso.fi/onto/yso/p19069>	jordärtskocka
<http://www.yso.fi/onto/yso/p19888>	hytter
<http://www.yso.fi/onto/yso/p26451>	hjärttransplantation
<http://www.yso.fi/onto/yso/p120340>	Vuotinainen
<http://www.yso.fi/onto/yso/p2374>	vigsel
<http://www.yso.fi/onto/yso/p28355>	liminalitet
<http://www.yso.fi/onto/yso/p3128>	företag
<http://www.yso.fi/onto/yso/p11169>	offentlig profil
<http://www.yso.fi/onto/yso/p113800>	Niinijoki (Loimaa kommun)
<http://www.yso.fi/onto/yso/p12796>	brandkårer
<http://www.yso.fi/onto/yso/p20474>	Backas gård
<http://www.yso.fi/onto/yso/p23695>	curry
<http://www.yso.fi/onto/yso/p546>	arbetsrum
<http://www.yso.fi/onto/yso/p12193>	tillväxtmodeller
<http://www.yso.fi/onto/yso/p27204>	albanskt teckenspråk
<http://www.yso.fi/onto/yso/p7121>	obebyggda områden
<http://www.yso.fi/onto/yso/p29272>	somalisk litteratur
<http://www.yso.fi/onto/yso/p3786>	glaciärbildning
<http://www.yso.fi/onto/yso/p138252>	Kuorasjärvi
<http://www.yso.fi/onto/yso/p18236>	fars dag
<http://www.yso.fi/onto/yso/p29133>	markattartade apor
<http://www.yso.fi/onto/yso/p14922>	maffia
<http://www.yso.fi/onto/yso/p14364>	stormaktspolitik
<http://www.yso.fi/onto/yso/p110572>	Kurhila (Asikkala)
<http://www.yso.fi/onto/yso/p17151>	vanadin
<http://www.yso.fi/onto/yso/p21759>	lastbilstrafik
<http://www.yso.fi/onto/yso/p6275>	rättvisa
<http://www.yso.fi/onto/yso/p94119>	Aspö (Kotka)
<http://www.yso.fi/onto/yso/p26364>	spektral avbildning
<http://www.yso.fi/onto/yso/p28116>	benresorption
<http://www.yso.fi/onto/yso/p11812>	gurka
<http://www.yso.fi/onto/yso/p941>	inkomster
<http://www.yso.fi/onto/yso/p6432>	nyheter (produkter)
<http://www.yso.fi/onto/yso/p4219>	kulturantropologer
<http://www.yso.fi/onto/yso/p19096>	järpe
<http://www.yso.fi/onto/yso/p105746>	Rönnbacka (Helsingfors)
<http://www.yso.fi/onto/yso/p776>	regionalförvaltning
<http://www.yso.fi/onto/yso/p16763>	arktiskt saltgräs
<http://www.yso.fi/onto/yso/p8028>	resultatstyrning
<http://www.yso.fi/onto/yso/p26286>	pekannöt
<http://www.yso.fi/onto/yso/p19452>	Trefaldighetskyrkan (Raumo)
<http://www.yso.fi/onto/yso/p21657>	hathayoga
<http://www.yso.fi/onto/yso/p5829>	helgon i ortodoxa kyrkan
<http://www.yso.fi/onto/yso/p159514>	Sammaltunturi
<http://www.yso.fi/onto/yso/p6418>	handikapp
<http://www.yso.fi/onto/yso/p16007>	färgfotografering
<http://www.yso.fi/onto/yso/p12664>	judemission
<http://www.yso.fi/onto/yso/p3688>	folkseder
<http://www.yso.fi/onto/yso/p19538>	statsbolag
<http://www.yso.fi/onto/yso/p203300>	Bräcke
<http://www.yso.fi/onto/yso/p8280>	variation (biologi)
<http://www.yso.fi/onto/yso/p128088>	Uva (Ristijärvi)
<http://www.yso.fi/onto/yso/p17426>	hydrocefali
<http://www.yso.fi/onto/yso/p6441>	lasering
<http://www.yso.fi/onto/yso/p2688>	byggnadstradition
<http://www.yso.fi/onto/yso/p22899>	punktlighet
<http://www.yso.fi/onto/yso/p25340>	beteendegenetik
<http://www.yso.fi/onto/yso/p4655>	botanik
<http://www.yso.fi/onto/yso/p27107>	Neste Oil Rally Finland
<http://www.yso.fi/onto/yso/p25670>	hundäxingar (släkte)
<http://www.yso.fi/onto/yso/p13204>	höbärgning
<http://www.yso.fi/onto/yso/p16148>	blödning
<http://www.yso.fi/onto/yso/p37954>	slagborrar
<http://www.yso.fi/onto/yso/p10094>	OpenOffice
<http://www.yso.fi/onto/yso/p105570>	Mallorca
<http://www.yso.fi/onto/yso/p3744>	ikonografi
<http://www.yso.fi/onto/yso/p27736>	Q-metoden
<http://www.yso.fi/onto/yso/p29109>	plastbåtar
<http://www.yso.fi/onto/yso/p2341>	jubileumsår
<http://www.yso.fi/onto/yso/p20199>	biblioteksfunktionärer
<http://www.yso.fi/onto/yso/p24828>	rött
<http://www.yso.fi/onto/yso/p10987>	kvävefixering
<http://www.yso.fi/onto/yso/p20817>	poliser
<http://www.yso.fi/onto/yso/p4328>	förvaltning
<http://www.yso.fi/onto/yso/p3861>	ateljéer
<http://www.yso.fi/onto/yso/p19053>	lantbruksorganisationer
<http://www.yso.fi/onto/yso/p9521>	utryckningsfordon
<http://www.yso.fi/onto/yso/p220378>	Emskär (Eckerö)
<http://www.yso.fi/onto/yso/p130587>	Nipert (Esbo)
<http://www.yso.fi/onto/yso/p23990>	lögner
<http://www.yso.fi/onto/yso/p2634>	fysisk geografi
<http://www.yso.fi/onto/yso/p21996>	yrkeskök
<http://www.yso.fi/onto/yso/p15745>	underhållsstöd
<http://www.yso.fi/onto/yso/p1947>	välfärd
<http://www.yso.fi/onto/yso/p29000>	småtidningar
<http://www.yso.fi/onto/yso/p6711>	tomter
<http://www.yso.fi/onto/yso/p11514>	kaféer
<http://www.yso.fi/onto/yso/p193232>	Frederiksberg
<http://www.yso.fi/onto/yso/p26276>	vindgeneratorer
<http://www.yso.fi/onto/yso/p106298>	Vuoksela
<http://www.yso.fi/onto/yso/p4822>	Porkkala gård
<http://www.yso.fi/onto/yso/p27223>	naturarv
<http://www.yso.fi/onto/yso/p18565>	kyrkans centraler
<http://www.yso.fi/onto/yso/p23435>	paracetamol
<http://www.yso.fi/onto/yso/p172328>	Aapajärvi (Pelkosenniemi)
<http://www.yso.fi/onto/yso/p105030>	Rumänien
<http://www.yso.fi/onto/yso/p12364>	uppbåd
<http://www.yso.fi/onto/yso/p20335>	knäckebröd
<http://www.yso.fi/onto/yso/p10629>	veteranarbete
<http://www.yso.fi/onto/yso/p6086>	spektra
<http://www.yso.fi/onto/yso/p15175>	helpension
<http://www.yso.fi/onto/yso/p6068>	Apache
<http://www.yso.fi/onto/yso/p113294>	Kivistö (Vanda)
<http://www.yso.fi/onto/yso/p29519>	heraldiker
<http://www.yso.fi/onto/yso/p27638>	koncernchefer
<http://www.yso.fi/onto/yso/p9506>	fauvism
<http://www.yso.fi/onto/yso/p27046>	Villa Frenckell
<http://www.yso.fi/onto/yso/p11780>	enneagram
<http://www.yso.fi/onto/yso/p6566>	omplacering
<http://www.yso.fi/onto/yso/p12430>	landskapsplanering
<http://www.yso.fi/onto/yso/p29893>	offertorier
<http://www.yso.fi/onto/yso/p2976>	religionsvetenskap
<http://www.yso.fi/onto/yso/p29085>	individforskning
<http://www.yso.fi/onto/yso/p6346>	kaplaner
<http://www.yso.fi/onto/yso/p11464>	mikroteknik
<http://www.yso.fi/onto/yso/p115292>	Kurejoki
<http://www.yso.fi/onto/yso/p24862>	kritiskt tänkande
<http://www.yso.fi/onto/yso/p178705>	Teppanala (Imatra)
<http://www.yso.fi/onto/yso/p37896>	trollstavar
<http://www.yso.fi/onto/yso/p12719>	Tempelplatsens kyrka
<http://www.yso.fi/onto/yso/p4243>	informationsvärde
<http://www.yso.fi/onto/yso/p11695>	tidningsavdelningar
<http://www.yso.fi/onto/yso/p19374>	satellitnavigering
<http://www.yso.fi/onto/yso/p8475>	kulturarv
<http://www.yso.fi/onto/yso/p18351>	pedofili
<http://www.yso.fi/onto/yso/p8979>	efterbildning
<http://www.yso.fi/onto/yso/p3501>	Statsrådets festvåning
<http://www.yso.fi/onto/yso/p24304>	evenemangsproduktion
<http://www.yso.fi/onto/yso/p12348>	EG-rätt
<http://www.yso.fi/onto/yso/p835>	musiktävlingar
<http://www.yso.fi/onto/yso/p22415>	c-reaktivt protein
<http://www.yso.fi/onto/yso/p26948>	altviolinister
<http://www.yso.fi/onto/yso/p19170>	skogsvägar
<http://www.yso.fi/onto/yso/p10317>	tarmkanal
<http://www.yso.fi/onto/yso/p6639>	landsflykt
<http://www.yso.fi/onto/yso/p7148>	Kiukaiskulturen
<http://www.yso.fi/onto/yso/p21517>	chicanoer
<http://www.yso.fi/onto/yso/p9489>	förmedling
<http://www.yso.fi/onto/yso/p210737>	Vojvodina
<http://www.yso.fi/onto/yso/p12219>	mikroti
<http://www.yso.fi/onto/yso/p2703>	bostadshyra
<http://www.yso.fi/onto/yso/p6258>	savanner
<http://www.yso.fi/onto/yso/p23833>	björnloka
<http://www.yso.fi/onto/yso/p29295>	folk metal
<http://www.yso.fi/onto/yso/p13528>	mekaniska musikinstrument
<http://www.yso.fi/onto/yso/p656>	hinder (samhälleliga objekt)
<http://www.yso.fi/onto/yso/p13322>	tillämpad psykologi
<http://www.yso.fi/onto/yso/p17515>	skriftliga källor
<http://www.yso.fi/onto/yso/p12004>	kalkning
<http://www.yso.fi/onto/yso/p18189>	återfallsbrottslighet
<http://www.yso.fi/onto/yso/p201216>	Paljakka (Jaala)
<http://www.yso.fi/onto/yso/p2858>	ärlighet
<http://www.yso.fi/onto/yso/p3808>	mental träning
<http://www.yso.fi/onto/yso/p209898>	Höytölä (Ikalis)
<http://www.yso.fi/onto/yso/p22349>	benägenhet
<http://www.yso.fi/onto/yso/p130586>	Juvamalmen (Esbo)
<http://www.yso.fi/onto/yso/p178694>	Mullila (Euraåminne)
<http://www.yso.fi/onto/yso/p27050>	skogshantering
<http://www.yso.fi/onto/yso/p2332>	konkursbrott
<http://www.yso.fi/onto/yso/p7404>	tesaurusar
<http://www.yso.fi/onto/yso/p11415>	fruktträd
<http://www.yso.fi/onto/yso/p612>	etnisk diskriminering
<http://www.yso.fi/onto/yso/p16001>	ballistik
<http://www.yso.fi/onto/yso/p37794>	anomalier
<http://www.yso.fi/onto/yso/p108424>	Ahlholm (Malax)
<http://www.yso.fi/onto/yso/p164554>	Lavola (Kivinebb)
<http://www.yso.fi/onto/yso/p16414>	verb
<http://www.yso.fi/onto/yso/p4449>	Kalmarunionen
<http://www.yso.fi/onto/yso/p113101>	Järvenpää (Juva)
<http://www.yso.fi/onto/yso/p10449>	anläggning av grönområden
<http://www.yso.fi/onto/yso/p10642>	humanitär intervention
<http://www.yso.fi/onto/yso/p12386>	äldre finskt skriftspråk
<http://www.yso.fi/onto/yso/p13916>	socialsektorn
<http://www.yso.fi/onto/yso/p28168>	blå jungfruslända
<http://www.yso.fi/onto/yso/p20839>	mediespelare
<http://www.yso.fi/onto/yso/p22623>	Genuine Progress Indicator
<http://www.yso.fi/onto/yso/p21360>	turkisk litteratur
<http://www.yso.fi/onto/yso/p94153>	Ilomants
<http://www.yso.fi/onto/yso/p22136>	djur som terapi
<http://www.yso.fi/onto/yso/p112747>	Isojärvi (Multia : by)
<http://www.yso.fi/onto/yso/p15088>	invånarlokaler
<http://www.yso.fi/onto/yso/p131105>	Kutumäki (Suonenjoki)
<http://www.yso.fi/onto/yso/p28962>	välfärdsberättelser
<http://www.yso.fi/onto/yso/p28898>	malayalam
<http://www.yso.fi/onto/yso/p29987>	Harlem-jazz
<http://www.yso.fi/onto/yso/p17642>	absurdism
<http://www.yso.fi/onto/yso/p6319>	flamländare
<http://www.yso.fi/onto/yso/p11002>	kvartärgeologi
<http://www.yso.fi/onto/yso/p19710>	renlighetsfostran
<http://www.yso.fi/onto/yso/p94107>	Södra Österbotten
<http://www.yso.fi/onto/yso/p18397>	nya livsmedel
<http://www.yso.fi/onto/yso/p11251>	invånare
<http://www.yso.fi/onto/yso/p19033>	fisketurism
<http://www.yso.fi/onto/yso/p21346>	dressiner
<http://www.yso.fi/onto/yso/p13347>	lektorer (kyrkans arbetstagare)
<http://www.yso.fi/onto/yso/p109088>	Setumaa
<http://www.yso.fi/onto/yso/p28994>	trombomodulin
<http://www.yso.fi/onto/yso/p22933>	korpusar
<http://www.yso.fi/onto/yso/p18314>	affärskorrespondens
<http://www.yso.fi/onto/yso/p106328>	Koivu (Tervola)
<http://www.yso.fi/onto/yso/p155166>	Kankari (Vaala)
<http://www.yso.fi/onto/yso/p6893>	TRIPS-avtalet
<http://www.yso.fi/onto/yso/p13356>	linfärjor
<http://www.yso.fi/onto/yso/p28690>	distributiv rättvisa
<http://www.yso.fi/onto/yso/p28283>	tuviner
<http://www.yso.fi/onto/yso/p37946>	gatunamn
<http://www.yso.fi/onto/yso/p7016>	performancekonstnärer
<http://www.yso.fi/onto/yso/p16578>	bomullsindustri
<http://www.yso.fi/onto/yso/p14346>	könsfördelning
<http://www.yso.fi/onto/yso/p7216>	kassaskåp
<http://www.yso.fi/onto/yso/p23752>	lag om jaktvårdsavgift och jaktlicensavgift
<http://www.yso.fi/onto/yso/p10894>	forskarskolor
<http://www.yso.fi/onto/yso/p29707>	lättläst material
<http://www.yso.fi/onto/yso/p6306>	stockflottartävlingar
<http://www.yso.fi/onto/yso/p16890>	skidor
<http://www.yso.fi/onto/yso/p16354>	NMT
<http://www.yso.fi/onto/yso/p26054>	fusionsenergi
<http://www.yso.fi/onto/yso/p22125>	jämställdhetsplaner
<http://www.yso.fi/onto/yso/p10945>	Unigraph
<http://www.yso.fi/onto/yso/p2035>	landskapsdjur
<http://www.yso.fi/onto/yso/p105826>	Loppijärvi
<http://www.yso.fi/onto/yso/p14131>	uppfostringsanstalter
<http://www.yso.fi/onto/yso/p19630>	konstkommissioner
<http://www.yso.fi/onto/yso/p18774>	bärkraftsklassificering
<http://www.yso.fi/onto/yso/p21052>	organiska tennföreningar
<http://www.yso.fi/onto/yso/p14828>	rättsskyddsförsäkring
<http://www.yso.fi/onto/yso/p112676>	Ylä-Pihlaja (Vederlax)
<http://www.yso.fi/onto/yso/p563>	retorik
<http://www.yso.fi/onto/yso/p29303>	mongolisk litteratur
<http://www.yso.fi/onto/yso/p22534>	Vuotos
<http://www.yso.fi/onto/yso/p152617>	Ikola (Ylihärmä)
<http://www.yso.fi/onto/yso/p2657>	juridiska byråer
<http://www.yso.fi/onto/yso/p5581>	grundforskning
<http://www.yso.fi/onto/yso/p111897>	Vattukylä (Haapavesi)
<http://www.yso.fi/onto/yso/p1830>	bisexualitet
<http://www.yso.fi/onto/yso/p14834>	reproduktioner
<http://www.yso.fi/onto/yso/p153845>	Simonsböle (Vanda)
<http://www.yso.fi/onto/yso/p1987>	fakturering
<http://www.yso.fi/onto/yso/p19120>	vithövdad havsörn
<http://www.yso.fi/onto/yso/p20053>	karaimer
<http://www.yso.fi/onto/yso/p28401>	parallellism
<http://www.yso.fi/onto/yso/p18438>	fragment
<http://www.yso.fi/onto/yso/p8171>	kärnavfall
<http://www.yso.fi/onto/yso/p17716>	samebyar
<http://www.yso.fi/onto/yso/p20857>	båttidningar
<http://www.yso.fi/onto/yso/p21442>	tvångsmedelslag
<http://www.yso.fi/onto/yso/p9853>	produktionsbortfall
<http://www.yso.fi/onto/yso/p21344>	bolagsordning
<http://www.yso.fi/onto/yso/p20647>	stamkundskort
<http://www.yso.fi/onto/yso/p6031>	vårdmiljö
<http://www.yso.fi/onto/yso/p12462>	bärnsten
<http://www.yso.fi/onto/yso/p20382>	Häädetkeidas naturpark
<http://www.yso.fi/onto/yso/p218353>	Otby (Nurmijärvi)
<http://www.yso.fi/onto/yso/p487>	roll relaterad till befolkningsgrupp
<http://www.yso.fi/onto/yso/p23229>	stamcellstransfusion
<http://www.yso.fi/onto/yso/p37866>	filmsociologi
<http://www.yso.fi/onto/yso/p22363>	webbkameror
<http://www.yso.fi/onto/yso/p22904>	gräsartade växter
<http://www.yso.fi/onto/yso/p14705>	utvecklingskreditinstitut
<http://www.yso.fi/onto/yso/p27953>	danssociologi
<http://www.yso.fi/onto/yso/p7336>	militärområden
<http://www.yso.fi/onto/yso/p196767>	Haapavesi-Siikalatva ekonomiska region
<http://www.yso.fi/onto/yso/p27961>	säkerhetskommunikation
<http://www.yso.fi/onto/yso/p2444>	medier (kommunikation)
<http://www.yso.fi/onto/yso/p19992>	skoltidningar
<http://www.yso.fi/onto/yso/p7185>	fördelningar
<http://www.yso.fi/onto/yso/p14414>	seriell musik
<http://www.yso.fi/onto/yso/p27447>	Spetsbergtraktaten
<http://www.yso.fi/onto/yso/p111676>	Vepsä
<http://www.yso.fi/onto/yso/p3373>	livsmedelsindustri
<http://www.yso.fi/onto/yso/p25031>	strategisk styrning
<http://www.yso.fi/onto/yso/p476>	fostran
<http://www.yso.fi/onto/yso/p18463>	kulturbundenhet
<http://www.yso.fi/onto/yso/p6114>	carport
<http://www.yso.fi/onto/yso/p2211>	anhöriga
<http://www.yso.fi/onto/yso/p94365>	Pälkäne
<http://www.yso.fi/onto/yso/p497>	KIVA DDDC
<http://www.yso.fi/onto/yso/p30114>	triangel
<http://www.yso.fi/onto/yso/p22198>	röda khmerer
<http://www.yso.fi/onto/yso/p28060>	distansmöten
<http://www.yso.fi/onto/yso/p109268>	Kontiomäki (Paltamo)
<http://www.yso.fi/onto/yso/p20116>	hemokromatos
<http://www.yso.fi/onto/yso/p14846>	skenben
<http://www.yso.fi/onto/yso/p6243>	spårvägstrafik
<http://www.yso.fi/onto/yso/p9615>	kinesiskhet
<http://www.yso.fi/onto/yso/p29500>	skotsk gaeliska
<http://www.yso.fi/onto/yso/p2967>	neurobiologi
<http://www.yso.fi/onto/yso/p8811>	heraldik
<http://www.yso.fi/onto/yso/p6109>	traditionalism
<http://www.yso.fi/onto/yso/p14122>	större hackspett
<http://www.yso.fi/onto/yso/p26051>	guldäggsbärarskinnbaggen
<http://www.yso.fi/onto/yso/p105021>	Kaivomäki (Juva)
<http://www.yso.fi/onto/yso/p183304>	Mataskär
<http://www.yso.fi/onto/yso/p8338>	audiovisuella läromedel
<http://www.yso.fi/onto/yso/p3940>	fallskärmstrupper
<http://www.yso.fi/onto/yso/p637>	maskinvara
<http://www.yso.fi/onto/yso/p201227>	Lepplax (Pedersöre)
<http://www.yso.fi/onto/yso/p4842>	kötträtter
<http://www.yso.fi/onto/yso/p530>	ockultism
<http://www.yso.fi/onto/yso/p219271>	Gatjina
<http://www.yso.fi/onto/yso/p28619>	dikter på kalevalamått
<http://www.yso.fi/onto/yso/p111482>	Kaspiska havet
<http://www.yso.fi/onto/yso/p25182>	makrofotografering
<http://www.yso.fi/onto/yso/p18268>	pastell
<http://www.yso.fi/onto/yso/p5346>	naturleder
<http://www.yso.fi/onto/yso/p145057>	Yliskylä (Orivesi)
<http://www.yso.fi/onto/yso/p30169>	experimentell musik
<http://www.yso.fi/onto/yso/p18692>	nygrekiska
<http://www.yso.fi/onto/yso/p20354>	hamnövervakare
<http://www.yso.fi/onto/yso/p156082>	Uupune (Kivinebb)
<http://www.yso.fi/onto/yso/p24954>	iPhone
<http://www.yso.fi/onto/yso/p27513>	kitesurfing
<http://www.yso.fi/onto/yso/p38044>	pianomusik
<http://www.yso.fi/onto/yso/p38247>	marschsånger
<http://www.yso.fi/onto/yso/p8376>	kakao
<http://www.yso.fi/onto/yso/p113061>	Kuhkaa (Lumivaara)
<http://www.yso.fi/onto/yso/p11820>	menyer
<http://www.yso.fi/onto/yso/p10280>	slump
<http://www.yso.fi/onto/yso/p108331>	Sammonlahti (Villmanstrand)
<http://www.yso.fi/onto/yso/p27394>	evidensbaserade praktiker
<http://www.yso.fi/onto/yso/p17814>	museiföremål
<http://www.yso.fi/onto/yso/p22609>	voluntarism
<http://www.yso.fi/onto/yso/p48>	psykiska utvecklingsstörningar
<http://www.yso.fi/onto/yso/p4899>	professioner
<http://www.yso.fi/onto/yso/p108077>	Korfu
<http://www.yso.fi/onto/yso/p192067>	Garmisch-Partenkirchen
<http://www.yso.fi/onto/yso/p26631>	fotoluminiscens
<http://www.yso.fi/onto/yso/p2776>	tillgång till information
<http://www.yso.fi/onto/yso/p8847>	gryn
<http://www.yso.fi/onto/yso/p1139>	ljudinspelning och -lagring
<http://www.yso.fi/onto/yso/p17860>	automationsmontörer
<http://www.yso.fi/onto/yso/p15070>	innehållsproduktion
<http://www.yso.fi/onto/yso/p7950>	kärleksterapi
<http://www.yso.fi/onto/yso/p202914>	Pengonpohja (Ylöjärvi)
<http://www.yso.fi/onto/yso/p6161>	upplösning av samboende
<http://www.yso.fi/onto/yso/p176980>	Miami
<http://www.yso.fi/onto/yso/p26348>	magomvridning
<http://www.yso.fi/onto/yso/p17752>	terminalvård
<http://www.yso.fi/onto/yso/p27965>	Hilberts problem
<http://www.yso.fi/onto/yso/p23016>	Holmska gården
<http://www.yso.fi/onto/yso/p20081>	befolkningsprognoser
<http://www.yso.fi/onto/yso/p853>	producentansvar
<http://www.yso.fi/onto/yso/p2544>	blåstång
<http://www.yso.fi/onto/yso/p212684>	Kärkkäälä (Suonenjoki)
<http://www.yso.fi/onto/yso/p27494>	nätlagring
<http://www.yso.fi/onto/yso/p4210>	järnvägstjänstemän
<http://www.yso.fi/onto/yso/p11680>	mejerister
<http://www.yso.fi/onto/yso/p7751>	kamkeramiska kulturen
<http://www.yso.fi/onto/yso/p16248>	solidaritet
<http://www.yso.fi/onto/yso/p5147>	genetik
<http://www.yso.fi/onto/yso/p25066>	katakana
<http://www.yso.fi/onto/yso/p6151>	kompressorer
<http://www.yso.fi/onto/yso/p202242>	Tavastby (Liljendal)
<http://www.yso.fi/onto/yso/p11867>	coping
<http://www.yso.fi/onto/yso/p1360>	flygfält
<http://www.yso.fi/onto/yso/p27762>	serviceplaner
<http://www.yso.fi/onto/yso/p94188>	Kanneljärvi
<http://www.yso.fi/onto/yso/p22086>	krav maga
<http://www.yso.fi/onto/yso/p17227>	dieselmotorer
<http://www.yso.fi/onto/yso/p9723>	förvaltningstvång
<http://www.yso.fi/onto/yso/p19435>	distriktsingenjörer
<http://www.yso.fi/onto/yso/p94095>	Baltikum
<http://www.yso.fi/onto/yso/p121607>	Äkryntaipale (Kangasniemi)
<http://www.yso.fi/onto/yso/p169607>	Moluckerna
<http://www.yso.fi/onto/yso/p10702>	arbetsledning
<http://www.yso.fi/onto/yso/p106669>	Kuivakangas (Övertorneå)
<http://www.yso.fi/onto/yso/p16542>	trä
<http://www.yso.fi/onto/yso/p16287>	kompostorer
